train_bce_mask:0.023492996767163276 train_dice:0.07575537944212556 train_bce_center:0.005238836130592972 train_dice_center:0.18553811646997928 train_l2_width:0.01212861065287143 train_l2_height:0.010948649630881846 train_loss:0.31310258619487286 
train_bce_mask:0.02321231528185308 train_dice:0.0754416131414473 train_bce_center:0.005127669620560482 train_dice_center:0.18354507349431515 train_l2_width:0.012093000079039485 train_l2_height:0.010980508627835662 train_loss:0.31040018051862717 
train_bce_mask:0.022719980333931744 train_dice:0.0750627181492746 train_bce_center:0.005149869929300621 train_dice_center:0.18224318623542785 train_l2_width:0.011333908978849649 train_l2_height:0.01080676622223109 train_loss:0.3073164328932762 
train_bce_mask:0.023383438936434686 train_dice:0.07455486552789807 train_bce_center:0.005192057142267004 train_dice_center:0.18239763528108596 train_l2_width:0.012013586808461697 train_l2_height:0.01085820181760937 train_loss:0.3083997886627913 
train_bce_mask:0.022506250813603402 train_dice:0.0738804773427546 train_bce_center:0.00517028293106705 train_dice_center:0.18194212168455123 train_l2_width:0.011356838908977807 train_l2_height:0.010390413110144436 train_loss:0.30524638406932353 
train_bce_mask:0.021927376603707673 train_dice:0.07305308207869529 train_bce_center:0.005155666213249787 train_dice_center:0.179396203532815 train_l2_width:0.011857208365108817 train_l2_height:0.010676557023543864 train_loss:0.3020660925656557 
train_bce_mask:0.022447175835259257 train_dice:0.07232260974124075 train_bce_center:0.005132636375492439 train_dice_center:0.1773275913670659 train_l2_width:0.011915258143562823 train_l2_height:0.010952468297909945 train_loss:0.30009773895144465 
train_bce_mask:0.02263881287071854 train_dice:0.07321980567649007 train_bce_center:0.0050929234828799965 train_dice_center:0.17710031978785992 train_l2_width:0.011673910421086476 train_l2_height:0.01055260791326873 train_loss:0.3002783790230751 
train_bce_mask:0.022305414266884326 train_dice:0.07278369711712003 train_bce_center:0.005065077455947175 train_dice_center:0.1746457226574421 train_l2_width:0.011416029056999833 train_l2_height:0.010413698595948517 train_loss:0.2966296371072531 
train_bce_mask:0.021877659973688422 train_dice:0.07208133861422539 train_bce_center:0.005088516138494014 train_dice_center:0.17367736995220184 train_l2_width:0.011579020437784493 train_l2_height:0.010231323703192175 train_loss:0.2945352319628 
train_bce_mask:0.021899829851463437 train_dice:0.07108764136210084 train_bce_center:0.005182715511182323 train_dice_center:0.17370849307626485 train_l2_width:0.01155632928130217 train_l2_height:0.010167645942419767 train_loss:0.29360265247523787 
train_bce_mask:0.022148187179118393 train_dice:0.071489520650357 train_bce_center:0.00508924838504754 train_dice_center:0.17240703031420707 train_l2_width:0.01118375761434436 train_l2_height:0.01038990543456748 train_loss:0.29270764738321303 
train_bce_mask:0.022309932089410723 train_dice:0.07184611251577736 train_bce_center:0.0050522398028988395 train_dice_center:0.170372480340302 train_l2_width:0.011372351623140275 train_l2_height:0.010564813099335879 train_loss:0.291517936065793 
train_bce_mask:0.021594482799991967 train_dice:0.0716323566623032 train_bce_center:0.005005562526639551 train_dice_center:0.17098251469433307 train_l2_width:0.011387880123220385 train_l2_height:0.0104466293589212 train_loss:0.2910494260489941 
train_bce_mask:0.021339970757253468 train_dice:0.06973687782883645 train_bce_center:0.004982837860006839 train_dice_center:0.16812152471393346 train_l2_width:0.01084977954160422 train_l2_height:0.010282821295550092 train_loss:0.28531381078064444 
train_bce_mask:0.021296429564245045 train_dice:0.06978231882676482 train_bce_center:0.004958142561372369 train_dice_center:0.16788248661905528 train_l2_width:0.011815557675436138 train_l2_height:0.00998711072606966 train_loss:0.285722042620182 
train_bce_mask:0.02084775744006038 train_dice:0.0696872677654028 train_bce_center:0.005011334898881614 train_dice_center:0.16869130302220584 train_l2_width:0.011450151400640606 train_l2_height:0.010243085387628525 train_loss:0.28593089804053307 
train_bce_mask:0.020805653906427322 train_dice:0.06975307054817677 train_bce_center:0.005072975839721039 train_dice_center:0.16836125031113625 train_l2_width:0.011457246879581362 train_l2_height:0.010400547867175192 train_loss:0.28585074469447136 
train_bce_mask:0.020665461756289007 train_dice:0.06869671568274498 train_bce_center:0.00496988192317076 train_dice_center:0.16544034499675037 train_l2_width:0.011068323417566717 train_l2_height:0.010125800501555204 train_loss:0.28096652738749983 
train_bce_mask:0.021024373057298363 train_dice:0.06912130890414118 train_bce_center:0.005048415312194266 train_dice_center:0.16565076168626547 train_l2_width:0.011224742303602398 train_l2_height:0.009893998457118868 train_loss:0.28196360021829603 
